process	task_id	hash	name	attempt	status	exit	realtime	%cpu	vmem	rss	submit	start	complete	duration	realtime	rchar	wchar
ParseInput	1	18/d90fa8	ParseInput (Parse input test)	1	CACHED	0	956ms	100.6%	13.1 MB	9.9 MB	2024-11-06 01:53:47.392	2024-11-06 01:53:47.439	2024-11-06 01:53:48.613	1.2s	956ms	3.6 MB	362.8 KB
LoadPlatform	3	aa/73446b	LoadPlatform (Load sequencing platform CBIOP_WXS_PRAD_BROAD)	1	CACHED	0	18ms	81.5%	0	0	2024-11-06 01:53:48.657	2024-11-06 01:53:48.716	2024-11-06 01:53:48.972	315ms	18ms	539.8 KB	343.3 KB
LoadGenome	2	71/a60cf5	LoadGenome (Load reference genome CBIOP_WXS_PRAD_BROAD)	1	CACHED	0	16ms	79.5%	0	0	2024-11-06 01:53:48.665	2024-11-06 01:53:48.717	2024-11-06 01:53:49.020	355ms	16ms	539.8 KB	343.3 KB
LoadCancer	4	c4/d537a7	LoadCancer (Load cancer type CBIOP_WXS_PRAD_BROAD)	1	CACHED	0	20ms	98.9%	0	0	2024-11-06 01:53:48.640	2024-11-06 01:53:48.714	2024-11-06 01:53:48.921	281ms	20ms	539.8 KB	343.3 KB
ProcessVariants	5	9a/971d79	ProcessVariants (Process variants CBIOP_WXS_PRAD_BROAD)	1	CACHED	0	1m 43s	95.8%	14.8 GB	11.4 GB	2024-11-06 01:53:49.031	2024-11-06 01:53:49.062	2024-11-06 01:55:32.327	1m 43s	1m 43s	127.4 MB	66.2 KB
FormatCLUSTL	6	47/c5dca5	FormatCLUSTL (Prepare for CLUSTL CBIOP_WXS_PRAD_BROAD)	1	CACHED	0	10.9s	98.6%	383.1 MB	328.7 MB	2024-11-06 01:55:32.375	2024-11-06 01:55:32.431	2024-11-06 01:55:43.714	11.3s	10.9s	5.8 MB	44.4 KB
FormatDNDSCV	9	73/de532b	FormatDNDSCV (Prepare for DNDSCV CBIOP_WXS_PRAD_BROAD)	1	CACHED	0	11s	98.5%	383.1 MB	328.7 MB	2024-11-06 01:55:32.362	2024-11-06 01:55:32.426	2024-11-06 01:55:43.891	11.5s	11s	5.8 MB	44.3 KB
FormatSignature	7	b1/dfdf98	FormatSignature (Prepare for signatures CBIOP_WXS_PRAD_BROAD)	1	CACHED	0	11s	98.6%	383.1 MB	328.8 MB	2024-11-06 01:55:32.367	2024-11-06 01:55:32.428	2024-11-06 01:55:43.622	11.3s	11s	5.8 MB	44.4 KB
FormatFML	10	e1/a07fc4	FormatFML (Prepare for FML CBIOP_WXS_PRAD_BROAD)	1	CACHED	0	11s	98.4%	383.1 MB	328.8 MB	2024-11-06 01:55:32.370	2024-11-06 01:55:32.429	2024-11-06 01:55:43.712	11.3s	11s	5.8 MB	44.4 KB
FormatVEP	8	8a/5c2af4	FormatVEP (Prepare for VEP CBIOP_WXS_PRAD_BROAD)	1	CACHED	0	11s	98.6%	382.8 MB	328.3 MB	2024-11-06 01:55:32.380	2024-11-06 01:55:32.432	2024-11-06 01:55:43.931	11.6s	11s	6.6 MB	846.7 KB
